City,Property Address,Postal Code,Longitude,Latitude
Toronto,777 Bay St,M5G 2C8,-79.3844559,43.6604859
Toronto,2 Carlton St,M5B 1J3,-79.3828415,43.6616782
London,175 Exeter Rd,N6L 1A4,-81.2626,42.9197
Brampton,7535 Financial Dr,L6Y 5S1,-79.7557262,43.625042
Mississauga,5820 Kennedy Rd,L4Z 2C3,-79.6643432,43.6318598
Vaughan,140 Marycroft Ave,L4L 5Y4,-79.5660511,43.7821364
Simcoe,438-480 Norfolk St,N3Y 2X3,-80.3001565,42.8227116
Toronto,207 Queens Quay W,M5J 1A7,-79.380352,43.6388865
Hamilton,1550 Upper James St,L9B 2L6,-79.8955239,43.2036167
Port Colborne,45-53 West Side Rd,L3K 5Y7,-79.2660813,42.8955486
Toronto,4789 Yonge St,M2N 0G3,-79.4102106,43.7614156
Collingwood,640 1st St,L9Y 4Y7,-80.2339724,44.5011953
Gravenhurst,290 1st St N,P1P 1H3,-79.372407,44.921671
Hanover,236 10th St,N4N 1N9,-81.0301772,44.1520796
Owen Sound,1150 16th St E,N4K 1Z3,-80.9245756,44.5746755
Innisfil,2211 20th Sideroad,L9S 4J1,-79.5760121,44.3090335
London,1595 Adelaide St N,N5X 4E8,-81.2574759,43.0367293
Brampton,9920 Airport Rd,L6S 0C5,-79.7196283,43.7591134
Toronto,243 Alberta Ave,M6C 3X4,-79.4337309,43.6810336
Guelph/eramosa,209 Alma St,N0B 2K0,-80.1465129,43.6160204
Mississauga,3185 American Dr,L4V 1V4,-79.6181289,43.6939115
Lakeshore,12 Amy Croft Dr,N9K 0A1,-82.8685492,42.3077168
Lakeshore,19 Amy Croft Dr,N9K 1C7,-82.8675957,42.3064882
Mississauga,2240 Argentia Rd,L5N 2X7,-79.7473921,43.5968648
Haldimand,322 Argyle St S,N3W 1K8,-79.9601879,43.0626057
Toronto,40 Asquith Ave,M4W 2M4,-79.3849472,43.6717411
Toronto,1811 Avenue Rd,M5M 3Z3,-79.4185611,43.7307282
Norfolk,1031 Bay St,N0E 1M0,-80.4509484,42.6241496
Northern Bruce Peninsula,9 Bay St S,N0H 2R0,-81.665077,45.254993
Ajax,500 Bayly E,L1S 1W6,-78.992802,43.854324
Toronto,2877 Bayview Ave,M2K 1E6,-79.3872399,43.7687506
Brock,30 Beaver Ave,L0K 1A0,-79.1251071,44.4274
Barrie,319 Blake St,L4M 1K7,-79.6574638,44.3959956
Toronto,425 Bloor St W,M5S 1X6,-79.4048569,43.6661873
Toronto,2187 Bloor St W,M6P 3C4,-79.4748708,43.6512013
Toronto,4201 Bloor St W,M9C 1C6,-79.5633732,43.6351585
Toronto,90-100 E Bloor St,M4W 1A7,-79.3850612,43.6709215
Kawartha Lakes,62 Bolton St,K0M 1A0,-78.5438597,44.5370834
Haldimand,107 Bridge St,N1A 2G9,-79.6159139,42.9019944
Toronto,1755 Brimley Rd,M1P 0A3,-79.2630864,43.7780368
Haldimand,1012 Broad St E,N1A 2Z2,-79.6005164,42.9030822
Toronto,720 Broadview Ave,M4K 2P1,-79.358436,43.6751787
Toronto,1015 Broadview Ave,M4K 2R8,-79.356461,43.684723
Tillsonburg,678 Broadway,N4G 3S9,-80.7486204,42.8821077
Plympton-Wyoming,610 Broadway St,N0N 1T0,-82.119044,42.9491866
Whitby,350 Brock St S,L1N 4K4,-78.941861,43.8768113
Barrie,11 Bryne Dr,L4N 8V8,-79.6949349,44.3582547
Markham,200 Bullock Dr,L3P 1W2,-79.2847533,43.8741934
St Clair,175 Bunker Ave,N0N 1G0,-82.454204,42.875808
Orangeville,90 C Line,L9W 4X5,-80.122217,43.909259
Mississauga,2281 Camilla Rd,L5A 2K2,-79.6027906,43.577663
Markham,1220 Castlemore Ave,L6E 1H4,-79.269957,43.9055477
Mississauga,715 Central Pky,L5B 4L1,-79.6444445,43.5771023
Cavan-Monaghan,6 Centre St,L0A 1G0,-78.4491316,44.1520146
Toronto,35 Charles St W,M4Y 2R4,-79.3876716,43.6680786
Toronto,20 Church Ave,M2N 0B7,-79.4131541,43.7744755
Guelph,124 Clair Rd E,N1L 0G6,-80.1898604,43.5031154
Hamilton,36 Clappison Ave,L0R 2H2,-79.9130609,43.320117
Port Colborne,124 Clarence St W,L3K 3G3,-79.2543654,42.8853342
Brampton,70 Clementine Dr,L6Y 5M3,-79.7549708,43.644345
Toronto,300 W Colborne St,M5C 3B2,-79.375437,43.6489692
Central Elgin,291 Colborne St,N5L 1A9,-81.2135414,42.6715246
Brantford,108 Colborne St W,N3T 1K7,-80.2743813,43.1333866
Severn,77 Coldwater Rd,L0K 1E0,-79.6418649,44.7023542
Toronto,1 Cole St,M5A 2A8,-79.3658643,43.6600239
Toronto,297 College St,M5S 2K2,-79.4014908,43.6574191
Brant,6 College St,N0E 1N0,-80.2567524,43.2437873
Toronto,175 Commander Blvd,M1S 3M7,-79.2706616,43.7963481
Chatham-Kent,20210 Communication Rd,N0P 1A0,-82.0111654,42.340871
Markham,98 Copper Creek Dr,L6B 0P2,-79.2298717,43.8684747
Oakville,301 Cornwall Rd,L6J 7Z5,-79.6792854,43.4567161
Oakville,461 Cornwall Rd,L6J 7S8,-79.6748046,43.4619559
Brampton,3998 Cottrelle Blvd,L6P 2R1,-79.6596981,43.7855394
Clearview,1057 County Rd 42,L0M 1S0,-80.0949578,44.4160421
Mississauga,1600 Courtneypark Dr E,L5T 2C7,-79.6545963,43.6652858
Mississauga,7295 W Credit Ave,L5N 5N1,-79.7599835,43.611781
Dutton/dunwich,210 Currie Rd,N0L 1J0,-81.5036946,42.6643849
Georgina,20895 Dalton Rd,L0E 1R0,-79.3633845,44.3097605
Toronto,2451 Danforth Ave,M4C 1L1,-79.3038884,43.6873925
North Huron,100 David St,N0G 2W0,-81.3130359,43.8835499
Cobourg,990 Division St,K9A 5J5,-78.1732766,43.9791652
Toronto,245 Dixon Rd,M9P 2M4,-79.5450648,43.6958713
Aurora,320 Don Hillock Dr,L4G 0K2,-79.4087724,44.0084069
Toronto,825 Don Mills Rd,M3C 1V4,-79.3375083,43.7227042
Stratford,581 Downie St,N5A 1Y5,-80.9754512,43.3594485
Brampton,65 Dufay Rd,L7A 0B5,-79.8430669,43.679269
Toronto,4750 Dufferin St,M3H 5S7,-79.4698612,43.776575
Toronto,3400 Dundas St,M6S 2S1,-79.4846387,43.6661833
Brant,71 Dundas St E,N3L 3H1,-80.3680834,43.1911335
Whitby,1614-1618 Dundas St E,L1N 8Y8,-78.9113202,43.8881172
Oakville,493 Dundas St W,L6M 4M2,-79.7453665,43.4671912
Whitby,920 Dundas St W,L1P 1P7,-78.9641672,43.8760428
Toronto,3671 Dundas St W,M6R 1X3,-79.4957853,43.6654493
Toronto,5559 Dundas St W,M9B 1B9,-79.5496795,43.6296628
Toronto,650 Dupont St,M6G 4B1,-79.4206291,43.6721783
Toronto,840 Dupont St,M6G 1Z6,-79.4275737,43.6709778
Kincardine,814 Durham St,N2Z 3B9,-81.6158596,44.1712914
Toronto,155 Dynamic Dr,M1V 5L8,-79.2517727,43.828098
Guelph,500 Edinburgh Rd S,N1G 4Z1,-80.2334384,43.521467
Toronto,2430 Eglinton Ave E,M1K 2P7,-79.2670503,43.7333634
Toronto,2742 Eglinton Ave E,M1J 2C6,-79.2467008,43.7375769
Toronto,3221 Eglinton Ave E,M1J 2H7,-79.2163887,43.742984
Toronto,1951 Eglinton Ave W,M6E 2J7,-79.4530709,43.6948293
Toronto,111 Elizabeth St,M5G 1P7,-79.3847211,43.6550554
Richmond Hill,273 Enford Rd,L4C 3E9,-79.4356652,43.8860703
Guelph,297 Eramosa Rd,N1E 2M7,-80.2477205,43.5587936
Sarnia,889 Exmouth St,N7T 5R3,-82.3772897,42.9847543
Kitchener,1187 Fischer-Hallman Rd,N2E 4H9,-80.5018923,43.4063143
Orillia,80 Fittons Rd E,L3V 6H9,-79.4238608,44.6263836
Cambridge,1105 Fountain St N,N3E 1A2,-80.3776942,43.4299632
Cambridge,200 Franklin Blvd,N1R 8N8,-80.2892944,43.3569058
Cambridge,1170 Franklin Blvd,N1R 7J2,-80.306466,43.4026507
Toronto,41 Fraser Ave,M6K 1Y7,-79.4236851,43.6369395
Toronto,171 Front St,M5A 4H3,-79.3684817,43.6499375
Toronto,80 Front St E,M5E 1T4,-79.3727345,43.6492034
Toronto,120 Front St E,M5A 1E3,-79.3698165,43.6502362
Toronto,361 Front St W,M5V 3R7,-79.3916429,43.6430505
Georgian Bay,7 Front St,P0C 1H0,-79.7697361,45.1363714
St Catharines,275 Geneva St,L2N 2E9,-79.2412603,43.1759071
Wellington North,165 George St,N0G 1A0,-80.5365091,43.8317627
Toronto,51 Gerry Fitzgerald Dr,M3J 3N4,-79.4717753,43.7848337
North Dumfries,39 Gibson St,N0B 1E0,-80.4508023,43.2870471
Mississauga,5010 Glen Erin Dr,L5M 6J3,-79.714856,43.5548975
Port Eligin,1244 Goderich St,N0H 2C0,-81.3780915,44.4515484
Toronto,89 Gould St,M5B 2R1,-79.3766613,43.6580252
Paris,315 Grand River St N,N3L 2N9,-84.1773803,42.6669344
Halton Hills,325 Guelph St,L7G 4B3,-79.8861198,43.6509111
London,960 Hamilton Rd,N5W 1A3,-81.1925457,42.9785296
Hamilton,2525 Hamilton Regional Rd 56,L0R 1C0,-79.8025756,43.1250911
St Catharines,149 Hartzel Rd,L2P 1N6,-79.2153045,43.1485458
Wilmot,1540 Haysville Rd,N3A 0A2,-80.7035088,43.3704628
Dysart,188 Highland St,K0M 1S0,-71.8118118,42.27085
Bradford West Gwillimbury,485 Holland St W,L3Z 0C1,-79.5928884,44.1083707
Bradford West Gwillimbury,500 Holland St W,L3Z 0C1,-79.591932,44.1081398
Vaughan,8265 Huntington Rd,L4L 1A5,-79.6470116,43.7814813
Vaughan,8800 Huntington Rd,L4H 3N5,-79.655298,43.7921598
Collingwood,39 Huron St,L9Y 1C5,-80.2129201,44.5049325
Collingwood,12 Hurontario St,L9Y 2L6,-80.2180143,44.5024449
Clarington,1450 Hwy 2,L1E 3C3,-78.8076018,43.9074265
Pelham,110 Hwy-20,L0S 1E6,-79.2786765,43.0467971
Nobleton,13255 Hwy-27,L0G 1N0,-79.6524911,43.908055
Markham,9305 Hwy-48,L6E 0E6,-79.2691806,43.9141835
Brampton,8910 Hwy-50,L6P 3A3,-79.6532806,43.7741445
Vaughan,3940 Hwy-7,L4L 1A6,-79.5549,43.788877
Sarnia,191 Indian Rd S,N7T 3W3,-82.3782419,42.9632706
Toronto,70 Island Rd,M1C 2P5,-79.1412713,43.7982135
Vaughan,9600 Islington Ave,L4H 2T1,-79.60942,43.8252393
Milton,2999 James Snow Pky,L9T 5G4,-79.9141979,43.5359229
Innisfil,2080 Jans Blvd,L9S 4Y8,-79.5594659,44.311336
Toronto,256 Jarvis St,M5B 2J4,-79.375663,43.6593999
Toronto,580 Jarvis St,M4Y 2H9,-79.3800858,43.6697809
Port Hope,20 Jocelyn St,L1A 3V5,-78.3206547,43.9605369
Tay,178 John St,L0K 2A0,-79.7768436,44.7504903
Aylmer,657 John St N,N5H 3J1,-80.9821054,42.7854236
Mississauga,1025 Kamato Rd,L4W 2L3,-79.6461755,43.6375136
Kawartha Lakes,400 Kent St W,K9V 6K2,-78.7613368,44.3507217
Clarington,131 King Ave E,L1B 1H3,-78.586134,43.9176764
Toronto,333-343 King St E,M5A 3X5,-79.3661756,43.6515919
Toronto,393 King St W,M5V 1K1,-79.3936722,43.6453796
Toronto,1030 King St W,M6K 1E6,-79.4159028,43.641579
Lincoln,3357 King St,L0R 2C0,-79.3901096,43.1509713
Brant,21 King St E,N0E 1A0,-80.3808256,43.1903745
Haldimand,32 King St E,N0A 1H0,-80.0502732,42.9612482
Huntsville,70 King William St,P1H 2A5,-79.2074016,45.3350862
Mississauga,25 Kingsbridge Garden Cir,L5R 4B1,-79.6506491,43.6039972
Pickering,650 Kingston Rd,L1V 1A6,-79.1182661,43.817968
Ajax,260 Kingston Rd W,L1T 4E4,-79.0371374,43.8596564
Toronto,93 Laird Dr,M4G 3V1,-79.3612829,43.7057987
Toronto,2121-2139 Lake Shore Blvd W,M8V 4E9,-79.4783741,43.6274471
Toronto,2275 Lake Shore Blvd W,M8V 3X2,-79.4851968,43.6195543
Toronto,3089 Lake Shore Blvd W,M8V 3W8,-79.5119951,43.5989502
Toronto,3730 Lake Shore Blvd W,M8W 1N6,-79.5398646,43.5938646
Toronto,2208 Lake Shore Blvd W,M8V 1A4,-79.4826424,43.623158
Toronto,2399 Lake Shore Blvd W,M8V 1C5,-79.4884043,43.6146194
St Catharines,581 Lake St,L2N 4J1,-79.2529559,43.1986942
Mississauga,406 Lakeshore Rd E,L5G 1H5,-79.5714944,43.5636199
Oakville,173 Lakeshore Rd W,L6K 1E7,-79.677055,43.4380766
Peterborough,1200 Lansdowne St,K9J 2A1,-78.3513042,44.2822506
Peterborough,1866 Lansdowne St W,K9K 1R5,-78.3762725,44.2751333
Toronto,1450 Lawrence Ave E,M4A 2S8,-79.3108174,43.7424568
Toronto,17 Leslie St,M4M 3H9,-79.3284242,43.6608701
Newmarket,17255 Leslie St,L3Y 8E4,-79.4281035,44.0602521
Mississauga,4080 Living Arts Dr,L5B 4M8,-79.6457366,43.5877598
Toronto,10 Lower Jarvis St,M5E 1Z2,-79.3700423,43.6445862
Niagara Falls,6460 Lundys Ln,L2G 1T6,-79.1023667,43.0886436
Toronto,100 Lynn Williams St,M6K 3N6,-79.4177915,43.6398874
Newmarket,847 Magnolia Ave,L3Y 5H5,-79.444693,44.072853
Erin,134 Main St,N0B 1T0,-80.065061,43.76981
Milton,820 Main St E,L9T 0J4,-79.8662586,43.5254047
Brampton,345 Main St N,L6X 1N3,-79.7707399,43.6932411
Brighton,14 Main St,K0K 1H0,-77.7371598,44.0422187
West Elgin,170 Main St,N0L 2P0,-81.60703,42.6033479
Southwest Middlesex,195 Main St,N0L 1M0,-81.7098451,42.7475651
Chatham-Kent,245 Main St,N0P 1C0,-81.8704538,42.630302
Southwest Middlesex,275 Main St,N0L 1M0,-81.7141639,42.7508731
Chatham-Kent,32 Main St E,N0P 2C0,-81.886538,42.4405234
Wellington North,504 Main St N,N0G 2L2,-80.7432719,43.9876056
Huron East,95 Main St S,N0K 1W0,-81.3958711,43.5510941
Brampton,156 Main St S,L6W 3N8,-79.7481366,43.6785957
Hagersville,160 Main St S,N0A 1H0,-80.0624855,42.9524003
South Huron,227 Main St S,N0M 1S6,-81.4814028,43.3501744
Vaughan,2911 Major Mackenzie Dr,L6A 3N9,-79.5327694,43.8492237
Milton,1079 Maple Ave,L9T 0A5,-79.8745711,43.5375295
Toronto,110 Marine Parade Dr,M8V 0A3,-79.4779028,43.6252596
Markham,7075 Markham Rd,L3S 3J9,-79.2502248,43.8387383
Toronto,145 Marlee Ave,M6B 3H3,-79.4409405,43.7034887
Central Huron,6 Mary St,N0M 1L0,-81.5401871,43.6160192
Markham,8555-8573 Mccowan Rd,L3P 1W9,-79.284357,43.868953
Markham,9580 Mccowan Rd,L3P 8M1,-79.293194,43.8927042
Niagara Falls,6770 Mcleod Rd,L2G 3G6,-79.1074844,43.0696463
Bradford West Gwillimbury,40 Melbourne Dr,L3Z 3B8,-79.5800977,44.1096085
Creemore,187 Mill St,L0M 1G0,-80.1054302,44.3269757
Essa,247 Mill St,L0M 1B1,-79.8904065,44.3281518
Hamilton,801 Mohawk Rd W,L9C 6C2,-79.9230305,43.2330512
Toronto,301 Moore Ave,M4G 1E1,-79.3705788,43.6964707
Halton Hills,367 Mountainview Rd S,L7G 5X3,-79.8771354,43.632499
Toronto,700-720 Mt Pleasant Rd,M4S 2N4,-79.3897137,43.7062255
Toronto,50 Musgrave St,M4E 3W2,-79.2882397,43.6885028
Whitby,100 Nordeagle Ave,L1N 9S1,-78.9476784,43.8641507
Toronto,22 Northcote Ave,M6J 3K2,-79.4265309,43.6431989
North Dumfries,1011 Northumberland St,N0B 1E0,-80.4628974,43.2990101
Lakeshore,534 Notre Dame St,N0R 1A0,-82.7077318,42.2930282
Beamsville,4610 Ontario St,L0R 1B3,-79.4796165,43.1808668
Pickering,1739 Orangebrook Ct,L1W 3G8,-79.0634073,43.8308256
Kitchener,750 Ottawa St S,N2E 3M6,-80.4873985,43.4237858
Havelock,32-38 Ottawa St W,K0L 1Z0,-77.8902094,44.4330805
Guelph,1045 Paisley Rd,N1K 1X6,-80.2894468,43.5224689
Chatham-Kent,215 Park Ave W,N7M 1W3,-82.184364,42.3925744
Toronto,111 Peter St,M5V 2H1,-79.3929029,43.647862
Petrolia,4136 Petrolia Line,N0N 1R0,-82.15003,42.8824024
Toronto,25 Photography Dr,M6M 0A1,-79.4839226,43.686662
Niagara Falls,3714 Portage Rd,L2J 2K9,-79.0989967,43.1177823
Brampton,1 President's Choice Cir,L6Y 5S5,-79.7688961,43.6185201
Mississauga,385 Princess Royal Dr,L5B 0A1,-79.6467415,43.587911
Scugog,278 Queen St,L9L 1B9,-78.9464135,44.1036091
Caledon,487 Queen St,L7E 2B4,-79.7243836,43.8714524
Halton Hills,388 Queen St E,L7J 2N3,-80.0257208,43.639558
Smith-Ennismore-Lakefield,1 Queen St,K0L 2H0,-78.2718003,44.4217712
New Tecumseth,260 Queen St N,L0G 1W0,-79.811088,44.0326638
Chatham-Kent,15 Queen St S,N0P 2L0,-82.4325332,42.2585636
Toronto,254 Queens Quay W,M5J 2N2,-79.3854726,43.6392191
Toronto,47 Railside Rd,M3A 1B2,-79.3209417,43.7383048
Ajax,1935 Ravenscroft Rd,L1T 4S7,-79.054785,43.8903388
Vaughan,111 Regina Rd,L4L 8M3,-79.6113437,43.7720878
London,1740 Richmond St,N5X 2S7,-81.2823367,43.028162
Wasaga Beach,711 River Rd W,L9Z 1N7,-80.0030959,44.5233183
Smith-Ennismore-Lakefield,476 Robinson Rd,K0L 1T0,-78.4033299,44.3896015
Vaughan,1631 Rutherford Rd,L4K 0C1,-79.4859438,43.8414198
Vaughan,3300 Rutherford Rd,L4K 5Z2,-79.5415162,43.8299009
Vaughan,3800 Rutherford Rd,L9H 3G8,-79.5539341,43.8270133
Hamilton,1275 Rymal Rd E,L8W 3N1,-79.8365897,43.1894097
Ajax,200 Salem Rd N,L1Z,-79.0215599,43.8694875
St Catharines,400 Scott St,L2M 3W4,-79.2265232,43.189006
Scugog,1893 Scugog St,L9L 1H9,-78.9372723,44.1028758
Toronto,681 Silver Star Blvd,M1V 5N1,-79.2988429,43.8238401
Georgina,199 Simcoe Ave,L4P 2H6,-79.4738162,44.2411064
Toronto,126 Simcoe St,M5H 4E6,-79.3872946,43.6489727
Welland,609 South Pelham Rd,L3C 3C7,-79.286955,43.0040417
Toronto,4000 Spadina Ave,M5V 3Y9,-79.3931776,43.6413727
Mississauga,155 Square One Dr,L5B 0E2,-79.6447185,43.5957661
Toronto,111 St Clair Ave,M4V 1N6,-79.3992577,43.6867088
Toronto,2 St Clair Ave E,M4T 1L7,-79.393801,43.688467
Toronto,22 St Clair Ave E,M4T 2S5,-79.3931455,43.6885756
Toronto,77-81 St Clair Ave E,M4T 1M9,-79.3911596,43.6883583
Toronto,2155 St Clair Ave W,M6N 1K5,-79.4730252,43.6696409
Chatham-Kent,250 St George St,N0P 1M0,-82.1796176,42.5957161
Brantford,371 St Paul Ave,N3R 4N5,-80.2733362,43.1559578
Stoney Creek,1770 Stone Church Rd,L8J 2V4,-79.8145476,43.1918427
Mississauga,4980 Tahoe Blvd,L4W 5P1,-79.6104661,43.6439696
St Thomas,1010 Talbot St,N5P 4N2,-81.1758222,42.7780929
Essex,191 Talbot St S,N8M 1B7,-82.8139863,42.169482
Toronto,780 Tapscott Rd,M1X 1A3,-79.2417669,43.8163686
Toronto,800 Tapscott Rd,M1X 1A4,-79.2414145,43.8189946
Oshawa,285 Taunton Rd E,L1G 3V2,-78.8663964,43.9335157
Oshawa,133 Taunton Rd W,L1G 3T4,-78.8856361,43.9310513
South Huron,62 Thames Rd E,N0M 1S3,-81.4812756,43.3634597
Centre Wellington,245 The Boardwalk,N2N 0B1,-80.5602147,43.4353661
Toronto,125 The Queensway,M8Y 1H6,-79.4830576,43.6302503
Toronto,748 The Queensway,M8Z 1M9,-79.5033415,43.6265405
Toronto,170 The West Mall,M9C 5L6,-79.5604207,43.6229188
Fort Erie,1135 Thompson Rd,L2A 6T7,-78.9435853,42.9073933
Cramahe,25 Toronto St,K0K 1S0,-77.8902731,44.0061943
Grey Highlands,217 Toronto St S,N0C 1H0,-80.6412761,44.3152572
Peterborough,501 Towerhill Rd,K9H 7S3,-78.3411272,44.3258977
Saugeen Shores,41 Turner St,N0H 2L0,-81.3635616,44.5020509
Hamilton,1-930 Upper Paradise Rd,L9B 2N1,-79.9198623,43.2175992
Toronto,17 Vickers Rd,M9B,-79.552262,43.6294202
Toronto,1150 Victoria Park Ave,M4B 2K4,-79.2962894,43.7082937
Windsor,4371 Walker Rd,N8W 3T6,-82.9681339,42.2566152
Kitchener,1111 Weber St E,N2A 2Y2,-80.448961,43.43443
Toronto,146 Wellesley St E,M4Y 1J2,-79.3763855,43.6666177
Toronto,24 Wellesley St W,M4Y 2X6,-79.3859297,43.6648437
Barrie,165 Wellington St,L4N 1L7,-79.7051467,44.3869742
Bracebridge,270 Wellington St,P1L 1B8,-79.3234179,45.0422575
Toronto,3655 Weston Rd,M9L 1V8,-79.5428967,43.760456
Toronto,16 William Kitchen Rd,M1P 2B7,-79.2822874,43.7708327
St Thomas,20 William St,N5R 3G9,-81.202836,42.778875
Ajax,87 Williamson Dr,L1T 0K9,-79.0457815,43.8840252
Toronto,270 Wilson Ave,M3H 1S6,-79.4330275,43.7377037
London,3040 Wonderland Rd S,N6L 1A6,-81.2808545,42.9378662
Toronto,985 Woodbine Ave,M4C 4B8,-79.3124902,43.6862691
Oakville,3455 Wyecroft Rd,L6L 0B6,-79.7468223,43.3981722
Toronto,2131 Yonge St,M4S 2A7,-79.397477,43.703611
Toronto,3080 Yonge St,M4N 3N1,-79.402817,43.7253708
Toronto,3142 Yonge St,M4N 2K6,-79.4030838,43.7268031
Toronto,3501 Yonge St,M4N 2N5,-79.4041395,43.7354355
Richmond Hill,13231-13233 Yonge St,L4E 4L6,-79.4539515,43.9511999
Springwater,14 Yonge St N,L0L 1P0,-79.8674187,44.5845897
Toronto,15 York St,M5J 0A3,-79.3808507,43.6420951
New Tecumseth,161 Young St,L9R 2A9,-79.8858243,44.1458766